,ShortName,RegionName,FullName,WebSite
0,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",https://raa.ru/
1,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,https://nid-design.org/
2,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/
3,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,https://eusp.org/
4,АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,https://kiu39.ru/
5,Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,https://www.iict.ru/
6,АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/
7,"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,https://sibit.sano.ru/
8,Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru/
9,Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,https://www.ruc.su/
10,АНО ООВО «ИТИ»,г. Москва,Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»,https://mos-iti.ru/
11,АНО «ООВО» «УЭУ»,Республика Крым,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,http://ueu.crimea.ru/
12,АНО ВО «ИДК»,г. Москва,Автономная некоммерческая организация Высшего Образования «Институт деловой карьеры»,https://www.ideka.ru/
13,ИМЭС,г. Москва,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,https://imes.su/
14,АНО ВО «Институт экономики и управления в промышленности»,г. Москва,Автономная некоммерческая организация высшего образования «Институт экономики и управления в промышленности»,https://ineup.ru/
