Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft,SoftInfo
0,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",https://raa.ru/,https://raa.ru/sveden/files/Informatika_UPPO_LR.pdf,
1,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,https://nid-design.org/,https://nid-design.org/informatsiya-o-realizuemykh-obrazovatel-nykh-programmakh.html,
2,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/,https://vepi.ru/wp-content/uploads/upfiles/sveden/education/t10/tb5_23-24/09.03.03_pi/d/FOS_b1.v.08_09.03.03-pi-110401_26.09.2023.pdf,"Microsoft Office, Adobe Acrobat, ABBYY FineReader, Autodesk AutoCAD, Microsoft Visual Studio, IBM SPSS Statistics, Microsoft Project, GraphPad Prism, Adobe Photoshop, Cisco Packet Tracer, MATLAB, ERwin Data Modeler, I-DEAS NX-Series, Adobe InDesign, AXIMA, QGIS, Apache NetBeans, Microsoft Visio, IBM InfoSphere DataStage."
3,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,https://eusp.org/,https://eusp.org/sveden/files/Opisanie_PPK_Soc._issled._polyzovateley(1).pdf,"Microsoft Office, Email Clients, MMO, Maple, MS Access, Strategic, PlanFact, NS Portal, Autodesk, ST9, Vero VISI, Abaqus, CompMech, Theory & Methods, ProEngineer, Project Management, Adobe Creative Cloud, SPSS, MATLAB, ISIS, Computer-Aided Design (CAD), R."
4,АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,https://kiu39.ru/,https://kiu39.ru/_doc/OPOP-KKU/05. 38.02.03 - Операционная деятельность в логистике/2. Очная форма обучения (11 кл.)/3. Рабочие программы дисциплин/ЕН.02 Информационные технологии в профдеятельности.pdf,"ADOBE ACROBAT READER, MICROSOFT OFFICE WORD, MICROSOFT OFFICE EXCEL, MICROSOFT OFFICE POWERPOINT, MICROSOFT OFFICE OUTLOOK, GOOGLE SCHOLAR."
5,Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,https://www.iict.ru/,https://www.iict.ru/abitur/19-образовательные-программы/204-09-03-01,"Adobe Acrobat, Notion, SharePoint, Microsoft Excel, Tableau, Power BI, Microsoft PowerPoint, Zoom, Google Classroom, Moodle, GitHub, Siemens Solid Edge, Oracle NetSuite, Autodesk Revit, Arimo, Abaqus, Ansys OptiSLang,тАв SystemVerilog, armies Eclipse, Zend Studio, MATLAB, Python, LabVIEW, Altera, Advanced Query Tool (AQT), Aqua Data Studio, IDLE, PyCharm, Visual Studio Code, eclipse, TRNSYS for simulating buildingenergy efficiency, Autodesk AutoCAD Civil 3D, ESRI Products, Modelsim, vProgram."
6,АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/,https://www.podolsk-ssi.ru/sveden/index.html,"PO дорогtech, AutoCAD, SketchUp, Office, Lissto, Citrix, Adobe Acrobat, SPSS, EndNote."
7,"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,https://sibit.sano.ru/,https://sibit.sano.ru/sveden/files/001806.pdf,"Momentum, Adobe Acrobat, Skype, Horizon, ERP, Email Client, Microsoft Office, Teaches, Postgres Pro, Apache Kafka, Apache Airflow, Apache Cassandra, Nginx, Prometheus, Grafana, ClickHouse, autopsy, Snort, plaso, Xplico, Pyew, ziproxy, Recon-ng, capa, Yara, Plaso, Suricata, Crius, Malware Analyst, Composite, .NET Framework, Captive, Implementation-oriented Tools, CheckMK, Prometheus, Grafana, Comshop, 1C enterprise, Bitrix24, Efficient, sms-mailing, Smart Messenger, The Portable, The Task Scheduler, Check Point, Vintela, N-Central, Endpoint, SAASPA, and Hyper-V."
8,Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru/,https://www.skoltech.ru/ofis-transfera-znaniy/programmnoe-obespechenie/,
9,Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,https://www.ruc.su/,https://www.ruc.su/upload/documents/education/spo/prikladnaya-inform/ПИ 2017 учебная практика ПМ 02.pdf,"Oracle Database, Adobe Acrobat, MS Excel, Autodesk Inventor, GraphSketcher, Maple, LISP, SPSS, Visual Studio, Jonas, ReSharper, .NET, Autodesk Revit, ESRI ArcGIS, Autodesk Civil 3D, Revenger, JetBrains Rider, OpenSSL, Octave, Gerris, MS Access, Git, SVN, Visual Studio Code, SAP ERD, IBM SPSS Syntax, CorelDRAW, netLogo, Python, C#, Java, Excel, PostgreSQL, Turbo Pascal, ASP, Delphi, Rubin, Git Bash, GitHub Desktop, Oracle MySQL, Asana, Microsoft 365, Zoom."
10,АНО ООВО «ИТИ»,г. Москва,Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»,https://mos-iti.ru/,http://mos-iti.ru/images/pdf/edu/pologenie_o_praktike.pdf,
11,АНО «ООВО» «УЭУ»,Республика Крым,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,http://ueu.crimea.ru/,http://ueu.crimea.ru/sveden/files/B1.V.DV.06.01_Professionalynye_kompyyuternye_programmy.pdf,"1C, Adobe Acrobat, Adobe Dreamweaver, Adobe Acrobat, Adobe Flash, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, ANTLR, Autodesk AutoCAD, Autodesk Inventor, Borland Delphi, CA ERwin Data Modeler, Graph Construction Kit, SAP Sybase, Delphi, Adobe After Effects, Adobe Animate, Microsoft Office, Microsoft Visual Studio, cuttermp3.NET, DBeaver, IBM SPSS Statistics, MATLAB, Microsoft Visio, Microsoft Power BI, Oracle Database, PostgreSQL."
12,АНО ВО «ИДК»,г. Москва,Автономная некоммерческая организация Высшего Образования «Институт деловой карьеры»,https://www.ideka.ru/,https://www.ideka.ru/sveden/objects,
13,ИМЭС,г. Москва,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,https://imes.su/,https://imes.su/press-tsentr/blog/item/1890-kto-takoy-programmist-chem-on-zanimaetsya-i-skolko-poluchaet,"Microsoft Office, 1C, Matlab, Python, Java, Oracle, PostgreSQL, Git, SVN, Autodesk, Adobe Creative Suite, Microsoft Visual Studio."
14,АНО ВО «Институт экономики и управления в промышленности»,г. Москва,Автономная некоммерческая организация высшего образования «Институт экономики и управления в промышленности»,https://ineup.ru/,https://www.ineup.ru/sveden/files/Programma_podgotovki_publikaciy.pdf,"1mate, Adobe Acrobat, Adobe Dreamweaver, Adobe Flash, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Premiere, Altium Designer, AnyLogic, Autodesk AutoCAD, Autodesk Inventor, Autodesk Revit, AutoDesk, ABBYY FineReader, Biovia Draw, Burg, Capture One, ChemOffice, Cisco AnyConnect, Citrix Workspace, CorelDRAW, Dispendis, Draw.io, Eclipse, Electronic Workbench, EndNote, Erwin, 3Ds Max, FollowMe, Flowcode, IBM SPSS, IntelliJ IDEA, Kaspersky Endpoint Security, Krita, LyX, Maple, MathCAD, MATLAB, Mathematica, Mediauxe, Microsoft 365, Microsoft Office, Microsoft Project, Microsoft Visio, MindManager, Movavi, Musescore, Origin, Overleaf, Paint.NET, Power BI, PyCharm, QlikSense, QuickField, RealPlayer, Safe Exam Browser, Seagate Backup, SketchUp, SolidWorks, SPSS, SQL Server, Statistica, Tableau, Telerik, Unity Hub, Vectary, Visual Studio Code, VNC Connect, XMind, Zoom Client."
15,Университет БРИКС,г. Москва,"Автономная некоммерческая организация высшего образования ""Университет БРИКС (ЮниБРИКС)""",https://юнибрикс.рф/,,
16,"АНО ВО ""УИФР""",Свердловская область,"Автономная некоммерческая организация высшего образования ""Уральский институт фондового рынка""",https://uifr.ru/,https://uifr.ru/sveden/files/RP_PrPrakt_UCHR_2023.pdf,
17,АНО ВО «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,Республика Татарстан (Татарстан),Автономная некоммерческая организация высшего образования «АКАДЕМИЯ СОЦИАЛЬНОГО ОБРАЗОВАНИЯ»,https://aso-ksui.ru/,,"Office365, Visual Studio, Visio, Azure Dev Tools, Adobe Creative Cloud, Adobe Acrobat, Adobe Illustrator, Adobe InDesign, Adobe XD, PDF-XChange Editor, Calibre, Adobe Reader, Anaconda, Corpus Analysis Toolkit, ET GeoWizards, ArcGIS, Elasticsearch, Audacity, Chescinette, CmapTools, Cygwin, Acrobat Pro DC, AutoCAD, Revit, Maya, Azure Dev Tools for Teaching, Anti-Virus, ArcGIS, EMS, EndNote, Endpoint Configuration Manager, Exchange Server, FileMaker Pro, HostExplorer, JMP, LabVIEW, Lucid Visual Collaboration Suite, macOS, Mathematica, MATLAB, Mimics, Minitab, NVivo, Office, Presenter, Project, R, R-Wipe & Clean, SAS, SharePoint Server, SOLIDWORKS, SPSS, SQL Server, Stata, Storyline, Visio, Visual Studio Pro, Windows Operating System Upgrade, Windows Server, WinZip, Wolfram Alpha Pro."
18,"АНО ВО «Белгородский университет кооперации, экономики и права»; Белгородский университет кооперации, экономики и права; БУКЭП",Белгородская область,"Автономная некоммерческая организация высшего образования «Белгородский университет кооперации, экономики и права»",https://www.bukep.ru/,https://www.bukep.ru/1562/35/chairs/99,"Microsoft Office, Scala, Azure, Django, React,  MongoDB, PyTorch, Postman, Tableau,  Power BI, Python, Java, JavaScript, Ginny, UiPath, Salesforce, AWS, .NET, Docker, Kubernetes, Cucumber, Ruby, Redis, Kafka, OpenCV, Git, Oracle, PostgreSQL."
19,АНО «Высшая школа сценических искусств»,г. Москва,Автономная некоммерческая организация высшего образования «Высшая школа сценических искусств»,https://www.raikin-school.com/,http://www.raikin-school.com/sveden/objects/,
20,АНО ВО «Гуманитарный университет»,Свердловская область,Автономная некоммерческая организация высшего образования «Гуманитарный университет»,https://gu-ural.ru/,https://gu-ural.ru/uploads/2022/06/Kompyuternaya-grafika.pdf.sig,"AutoCAD, Adobe Creative Cloud, Blender, Maya, 3ds Max, SketchUp, Revit, Autodesk Inventor, Microsoft Office, CorelDRAW, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Autodesk Maya, Blender, SketchUp, Autodesk AutoCAD, Versal."
21,АНО ВО «Институт бизнеса и дизайна»,г. Москва,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,https://obe.ru/,https://obe.ru/sveden/files/B1.V.DV.05.01_Proektirovanie_interfeysov.pdf," glyphs, Nanocut, Cut3D, Perfactory Software Suite, 3D Systems Geomagic_design, Autodesk AutoCAD, Autodesk Inventor, Siemens NX, Dassault Systèmes SolidWorks, PTC Creo, sketch, Adobe, Autodesk Revit, Microsoft Office, 1C."
22,АНО ВО «ИГУМО и ИТ»,г. Москва,Автономная некоммерческая организация высшего образования «Институт гуманитарного образования и информационных технологий»,https://igumo.ru/,https://igumo.ru/upload/medialibrary/f6f/f6f7ee790fb55925191e9ba2baf4f5af.pdf,"Adobe Acrobat, Microsoft Office, Google Meet, Zoom, Autodesk, Adobe Creative Cloud, Corel Creative Suite, ABBYY FineReader, ArcGIS, Cisco ASA, Autodesk Civil 3D, Microsoft Visual Studio, Autodesk Inventor, Microsoft .NET Framework, VMware, Adobe Photoshop, Cisco AnyConnect, Weka, Microsoft Excel."
23,АНО ВО ГИТР,г. Москва,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,https://gitr.ru/,https://gitr.ru/data/prog/zvuk/uchoznzvuk.pdf,
24,АНО ВО «ИНО»,г. Москва,Автономная некоммерческая организация высшего образования «Институт непрерывного образования»,http://www.7480040.ru/,http://www.7480040.ru/sveden/files/03_Rabota_s_orgtexnikoy.pdf,"Microsoft Office, Adobe Acrobat, SPSS, LaTeX, MATLAB, Microsoft Project, Autodesk Revit, Google Scholar, WordPress, Zotero."
25,АНО ВО «Институт современного искусства»,г. Москва,Автономная некоммерческая организация высшего образования «Институт современного искусства»,https://www.isi-vuz.ru/,https://www.isi-vuz.ru/sveden/eduStandarts/,"Microsoft Office, Zoom, Adobe Creative Cloud, Autodesk, IBM SPSS Statistics, autoCAD, Microsoft Teams, SketchUp, VMware, 1C."
26,АНО ВО «Институт стран Востока»,г. Москва,Автономная некоммерческая организация высшего образования «Институт стран Востока»,http://www.orun.ru/,http://www.orun.ru/upload/documents/practice04.pdf,"ABBYY FineReader, Adobe Acrobat, Adobe Creative Cloud, Adobe Illustrator, Adobe Photoshop, Anti-Plagiarism System, Ants, Apache NetBeans, BINF FontAwesome, Cisco WebEx, CorelDRAW, Directum RX, DiskCryptor, Doxygen, Drender, Dummy Flashdot, EndNote, Foxit Reader, Git, GNS3, Google Apps, Hibernate, IBM SPSS Statistics, Inkscape, Intel MKL, InterSystems Caché, Java Development Kit, Knowledge Maintenance System, LibreOffice, mc2, Microsoft 365, Microsoft Azure, Microsoft Office, Microsoft SQL Server, Microsoft Teams, Microsoft Visio, MikroTik Routers, Model Visionary, Nagios, NetFlow, TCPdump, Netscape Navigator, Notepad++, Obsidian, Octave, Oracle Database, Perforce, Postgres Pro, QEMU, Quality Management System, Quip, Qwerty, Ruby, SolarWinds Network, SQL Server Management Studio, Test Manager, Testinium, Texas Instruments Calculators, The Open Toolkit Library, TortoiseGit, TortoiseSVN, Trac, Unreal Engine, Unity, Videosoft DevRecorder, VirtualBox, WinForms, XPDev."
27,АНО ВО «КИФЭИ»,Республика Татарстан (Татарстан),"Автономная некоммерческая организация высшего образования «Казанский институт финансов, экономики и информатики»",https://www.kifei.ru/,https://www.kifei.ru/sveden/files/RPD_RAZRABOTKA_PROGRAMMNYX_PRILOGHENIY_ECP.pdf,"Microsoft Office, Adobe Acrobat, Adobe Reader, Acrobat, PDF Merge, FTP FileZilla, Python, Visual Studio Code, Notepad++, CMake, Git, SVN, Google Apps, Oracle, Microsoft SQL Server, Google Docs, Google Sheets, Google Slides, Slack, Zoom, SmallPDF Merge PDF, SmallPDF Convert, SmallPDF PDF Converter, SmallPDF PDF Scanner, SmallPDF PDF Annotator, SmallPDF PDF Reader."
28,"АНОВО «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ», МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ, МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ В МОСКВЕ, ММУ, МУМ",г. Москва,Автономная некоммерческая организация высшего образования «МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ»,https://mi.university/,https://mi.university/sveden/files/education/090207/program/2024/04.pdf,"Adobe Acrobat Reader, Word, Excel, PowerPoint, OneNote, Outlook, Zoom Video Conferencing, Gmail, Drive, Docs, Sheets, Slides, Microsoft Teams, Skype for Business, Canvas, Moodle, Zoom, Google Meet, SMART Boards, Promethean."
29,АНО ВО «МАБиУ»,г. Москва,Автономная некоммерческая организация высшего образования «Международная академия бизнеса и управления»,https://mabiu.ru/,https://mabiu.ru/sveden/education-metod-docs,"Microsoft Edge, Google Docs."
30,АНО ВО «МБИ имени Анатолия Собчака»,г. Санкт-Петербург,Автономная некоммерческая организация высшего образования «Международный банковский институт имени Анатолия Собчака»,https://www.ibispb.ru/,https://www.ibispb.ru/,"Microsoft Office, Linux, Adober Creative Cloud, dspace, netucator, Студент.рф, Универсальный электронный пропуск УЭП, Microsoft Teams, Adobe Acrobat, ANSYS, Autodesk Inventor, AutoCAD, BearingPoint Eduglobal, CAMECA, Cinema 4D, CorelDRAW, Electra Gold, EnSight, ETAP, Fidea, Innovyze, Kaspersky Endpoint Security, LearnExam, LetsLearn project, Microsoft Lync, Microsoft Virtual Academy, NEi Nastran, Network Performance Monitor, OneDrive, OriginLab, Pandia.ru, Regula, Robo3D, Simcenter Nastran, SolidWorks, SPSS, Stata, TopCode, Visual Components, VSPackage, Workfront, Zoom."
31,АНО ВО «МИУП»,Тверская область,Автономная некоммерческая организация высшего образования «Международный институт управления и права»,http://миуп.рф/,,
32,"АНО ВО МОСИ, АНО ВО «Межрегиональный открытый социальный институт»",Республика Марий Эл,Автономная некоммерческая организация высшего образования «Межрегиональный открытый социальный институт»,https://mosi.ru/,http://mosi.ru/sites/default/files/1/1a/list_sdo_23.pdf,
33,Институт МИРБИС,г. Москва,Автономная некоммерческая организация высшего образования «Московская международная высшая школа бизнеса «МИРБИС» (Институт),http://mirbis.ru,https://mirbis.ru/growthhacker/system-analysis-360h/,
34,АНО ВО «Московский гуманитарный университет» или «Московский гуманитарный университет» или АНО ВО «МосГУ» или «МосГУ»,г. Москва,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,https://mosgu.ru/,https://journals.mosgu.ru/ggz/article/viewFile/1662/2009,"Office Outlook, Microsoft Office, Moodle, Adobe Connect, Apache Cassandra, Apache Hadoop, Apache Kafka, Apache Spark, Git, Java, Python, R, SQL, Tableau, Visual Studio, Visual Studio Code, Visual Basic, Node.js, npm, Jupyter Notebook, MacOS, Google Analytics, Google Scholar, Microsoft Teams."
35,АНО ВО «МИСАО»,г. Москва,Автономная некоммерческая организация высшего образования «Московский институт современного академического образования»,https://misaoinst.ru/,https://misaoinst.ru/spo/courses/informacionnye-sistemy-i-programmirovanie/rpd,"1C:ERP, 1C:ЗУП, Autodesk AutoCAD, Autodesk Revit, BricsCAD, CaseNet, Cisco Packet Tracer, Coral, Draw.io, IBM SPSS Statistics, Microsoft Azure, Microsoft Excel, Microsoft Office, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft Teams, Microsoft Visio, OpenProject, Proteus, Python, SolidWorks, Sphinx, SQL Server Management Studio, Tableau, Visual Studio Code, VMware Workstation, YangParser."
36,МИТУ - МАСИ; Московский информационно-технологический университет - Московский архитектурно-строительный институт; МИТУ; МАСИ,г. Москва,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»,https://masi.ru/,https://masi.ru/courses/,"1C, Adobe Illustrator, AutoCAD, Microsoft Project, MS Office, ORT WOH, SPSS, SolidWorks, Statistica, Linux, Microsoft Windows, Visual Studio, MS Visual Studio, Excel."
37,Московский региональный социально-экономический институт (МРСЭИ),Московская область,Автономная некоммерческая организация высшего образования «Московский региональный социально-экономический институт»,http://www.mrsei.ru/,http://www.mrsei.ru/sveden/files/B1.B.33_Psixodiagnostika.pdf,"1PLUS1, Adobe Acrobat, Adself, Arel, AudioRecord, Audiozona, Cisco AnyConnect, CLAVR, CamScanner, D-Link DWS-3024, Dia, DokuWiki, EL_UMI, ELastic, EasyChair, Endnote, Excel, FileZilla, Google Apps for Education, Grammarly, HLT, IP-PBX, JetBrains Educational Products, Kvantut, LiveISP, Macfolio, MATLAB, Medodb, Microsoft Antivirus, Microsoft Office, Microsoft Visual Studio, Moodle, Navitel, Notepad++, OpenMeetings, OpenOffice, Oracle, Parallels, Perfect Disk, Prof letz, Proofpoint, PuTTY, RabbitMQ, Radmin, Rat ridge, Roskomnadzor, Sage, SAP R3, SCADA, Skype, SPSS Statistics, Startech, TeX Live, TeamSpeak, Viber, Vizerra, Visual Studio, Visio, VMware, Wrike, XemiComputronics, Xampp, Xopero, X5, Zond 3."
38,АНО ВО «Научно-клинический центр имени Башларова»,Республика Дагестан,Автономная некоммерческая организация высшего образования «Научно-клинический центр имени Башларова»,https://bashlarov-vuz.ru/,https://bashlarov-vuz.ru/documents/o_sred_obuch_bosp_ovz.signed.pdf,
39,АНО ВО «Национальный институт бизнеса»,г. Москва,Автономная некоммерческая организация высшего образования «Национальный институт бизнеса»,https://nibmoscow.ru/,https://nibmoscow.ru/abitur/bachelor/,
