soft_name;category;version;license;alt_compatible;desk_alt_sp10;serv_alt_sp10;alt_workstation10;alt_education10;alt_server10;ru_replacement
"Операционная система ""Альт Образование""";;;Proprietary;;;;;;;
Бизнес-курс МАКСИМУМ;;Версия 1;Proprietary;;;;;;;
Профориентатор;;Стандарт;Proprietary;;;;;;;
1С:Предприятие 8.3. Лицензия на сервер (x86-64);;8.3;Proprietary;;;;;;;
1С:Предприятие 8. Клиентская лицензия на 20 рабочих мест;;;Proprietary;;;;;;;
1С:Предприятие 8. Клиентская лицензия на 100 рабочих мест;;;Proprietary;;;;;;;
1С:Учет обращений ПРОФ. Электронная поставка;;;Proprietary;;;;;;;
1С:Электронное обучение. Конструктор курсов ПРОФ;;;Proprietary;;;;;;;
1С:Предпр.8.Комплект для обучения в высших и средних учебных заведениях (USB);;;Proprietary;;;;;;;
"Материалы слушателя сертифицированного курса ""1С:Предприятие 8. Основные объекты"" Версия 8.2";;8.2;Proprietary;;;;;;;
"Комплект материалов перподавателя сертифицированного курса ""1С:Предприятие 8. Бухгалтерские задачи""";;;Proprietary;;;;;;;
"Комплект материалов перподавателя сертифицированного курса ""1С:Предприятие 8. Оперативные задачи""";;;Proprietary;;;;;;;
"Комплект материалов перподавателя сертифицированного курса ""Основы программирования в ""1С:Предприятие 8"" для школьников""";;;Proprietary;;;;;;;
"Материалы слушателя сертифицированного курса ""Основы программирования в ""1С:Предприятие 8"" для школьников"" Модуль 1";;;Proprietary;;;;;;;
КонсультантПлюс;;;Proprietary;;;;;;;
AutoDesk Entertainment Creation Suite Ultimate 2016;;;Proprietary;;;;;;;
Labview Prof Dev System for Windows;;;Proprietary;;;;;;;
Профориентатор;;;Proprietary;;;;;;;
Plus Bundle Version;;;Proprietary;;;;;;;
Компас – 3D;;;Proprietary;;;;;;;
DreamSpark Premium Electronic Software Delivery;;;Proprietary;;;;;;;
Adobe Creative Suite 3;;3;Proprietary;;;;;;;
Microsoft IT Academy;;;Proprietary;;;;;;;
Гранд-Смета;;;Proprietary;;;;;;;
Microsoft Security Essentials;;;Proprietary;;;;;;;
Крипто Про 3.6;;3.6;Proprietary;;;;;;;
ArchiCad 12;;12;Proprietary;;;;;;;
SunRav TestOFficePro;;;Proprietary;;;;;;;
ПРУСК 2.0;;2;Proprietary;;;;;;;
Одиссей 1.0;;1;Proprietary;;;;;;;
Металл 4.2;;4.2;Proprietary;;;;;;;
СпИн 2.4;;2.4;Proprietary;;;;;;;
TouchAt/Poseidon 2.0;;2;Proprietary;;;;;;;
Microsoft Office 2016;;;Proprietary;;;;;;;
ИРБИС64;;;Proprietary;;;;;;;
Abbyy FineReader 9;;9;Proprietary;;;;;;;
Archicad 20;;20;Proprietary;;;;;;;
Программное обеспечение «Антиплагиат»;;;Proprietary;;;;;;;
Rinel-Lingo;;;Proprietary;;;;;;;
ВЕРТИКАЛЬ / Учебная лицензия;;;Proprietary;;;;;;;
ЛОЦМАН:PLM / Учебная лицензия;;;Proprietary;;;;;;;
Справочник Материалы и Сортаменты / Учебная лицензия;;;Proprietary;;;;;;;
"Справочник Стандартные Изделия: Детали; узлы и конструктивные эл. 2D и 3D / Учебная лицензия";;;Proprietary;;;;;;;
Справочник Стандартные Изделия: Крепеж 2D и 3D / Учебная лицензия;;;Proprietary;;;;;;;
"Справочник Стандартные Изделия: Электрические аппараты и
арматура 3D / Учебная лицензия";;;Proprietary;;;;;;;
Autodesk Civil 3D;;;Proprietary;;;;;;;
Autodesk Robot Structural Analysis Professional;;;Proprietary;;;;;;;
Autodesk Revit;;;Proprietary;;;;;;;
Autodesk Map 3D;;;Proprietary;;;;;;;
MapleSoft Maple 15;;15;Proprietary;;;;;;;
SciLab;;;Proprietary;;;;;;;
Statistica Base 10;;10;Proprietary;;;;;;;
SunRav TestOFficePro;;;Proprietary;;;;;;;
MapInfo / Учебная лицензия;;;Proprietary;;;;;;;
OrCAD (Lite Demo Software);;;Proprietary;;;;;;;
LabVIEW;;;Proprietary;;;;;;;
ArcGIS 9.1;;9.1;Proprietary;;;;;;;
MatLab/Simulink;;;Proprietary;;;;;;;
Circuit Design Suite 12.0;;12;Proprietary;;;;;;;
"Программно-методический комплекс
""Информационный модуль сайта -VIKON""";;;Proprietary;;;;;;;
"СТАТКЛАСС в составе программного решения PS IMAGO PRO: IBM SPSS STATISTICS Base; PS IMAGO PRO Pack; Stateless Pack для 1 пользователя.";;;Proprietary;;;;;;;
"Тrio-BoxWIZARD (SmetaWIZARD. BIM WIZARD; PlanWIZARD)";;;Proprietary;;;;;;;
Электронно-библиотечная система IPRbooks;;;Proprietary;;;;;;;
 ЭПС «Система ГАРАНТ»;;;Proprietary;;;;;;;
ESET NOD32;;;Proprietary;;;;;;;
