ShortName,RegionName,FullName,WebSite
РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",
АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,
"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/
АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,eusp.org
АНООВО «КИУ»,Калининградская область,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,www.kvshu39.ru
Международный институт компьютерных технологий,Воронежская область,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,
АНООВО «ПССИ»,Московская область,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/
"АНОО ВО ""СИБИТ""",Омская область,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,
Сколковский институт науки и технологий,Московская область,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru
Российский университет кооперации,Московская область,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,www.ruc.su
АНО ООВО «ИТИ»,г. Москва,Автономная некоммерческая организация «Образовательная организация высшего образования «Институт театрального искусства»,
АНО «ООВО» «УЭУ»,Республика Крым,Автономная некоммерческая организация «Образовательная организация высшего образования» «Университет экономики и управления»,http://ueu.crimea.ru/
АНО ВО «ИДК»,г. Москва,Автономная некоммерческая организация Высшего Образования «Институт деловой карьеры»,www.ideka.ru
ИМЭС,г. Москва,Автономная некоммерческая организация высшего образования  «Институт международных экономических связей»,NULL
АНО ВО «Институт экономики и управления в промышленности»,г. Москва,Автономная некоммерческая организация высшего образования «Институт экономики и управления в промышленности»,ineup.ru
Университет БРИКС,г. Москва,"Автономная некоммерческая организация высшего образования ""Университет БРИКС (ЮниБРИКС)""",
"АНО ВО ""УИФР""",Свердловская область,"Автономная некоммерческая организация высшего образования ""Уральский институт фондового рынка""",
