StatusName,EduOrgFullName,TypeName,ShortName,RegionName,FormName,FullName,WebSite,Id
Действующее,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",Образовательная организация высшего образования,РУАН ИМЕНИ Г.Б. МИРЗОЕВА,г. Москва,некоммерческая организация,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ УНИВЕРСИТЕТ АДВОКАТУРЫ И НОТАРИАТА ИМЕНИ Г.Б. МИРЗОЕВА""",,0B110A0C-130A-0B0E-100C-0E110B0D130B0E0A1112
Действующее,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,Образовательная организация высшего образования,АНО ВО «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,г. Москва,Автономные некоммерческие организации,АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»,,c5eda564-883e-a7ae-0e15-06dc52567473
Действующее,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,Образовательная организация высшего образования,"АНОО ВО «Воронежский экономико-правовой институт», АНОО ВО «ВЭПИ», ВЭПИ",Воронежская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,https://vepi.ru/,fc52979e-b4bc-f1f2-a8ad-1a7da3c0fa6f
Действующее,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,Образовательная организация высшего образования,АНООВО «ЕУСПб»,г. Санкт-Петербург,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Европейский университет в Санкт-Петербурге»,eusp.org,55d8db2b-1e75-45f1-b3fc-563dc9d9e7d3
Действующее,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,Образовательная организация высшего образования,АНООВО «КИУ»,Калининградская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Калининградский институт управления»,www.kvshu39.ru,f133a950-16f4-8df8-aef7-504b7a076b57
Действующее,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,Образовательная организация высшего образования,Международный институт компьютерных технологий,Воронежская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,,9aec1821-d9bc-cdcb-a334-7ca0b86c07f0
Действующее,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,Образовательная организация высшего образования,АНООВО «ПССИ»,Московская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Подольский социально-спортивный институт»,https://www.podolsk-ssi.ru/,0B0F0D13-1110-0F0C-120B-0E0F110D0A130F130A0B
Действующее,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,Образовательная организация высшего образования,"АНОО ВО ""СИБИТ""",Омская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»,,0B0F110B-0A0E-0B11-1112-0D110A0A12100E0E130F
Действующее,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,Образовательная организация высшего образования,Сколковский институт науки и технологий,Московская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»,http://www.skoltech.ru,33d7a996-2026-bee2-670e-21040f611016
Действующее,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,Образовательная организация высшего образования,Российский университет кооперации,Московская область,Автономные некоммерческие организации,Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,www.ruc.su,b3ac2417-7dce-d279-696b-65b8f99d443f
